acc_D,acc_G,loss_D,loss_G
0.421875,0.9375,0.7108303308486938,0.5759371519088745
0.546875,0.75,0.7051208019256592,0.6468815207481384
0.484375,0.59375,0.6884332895278931,0.6631186604499817
0.421875,0.84375,0.7164521217346191,0.579841673374176
0.421875,0.84375,0.7420527935028076,0.590488076210022
0.5,0.71875,0.70430588722229,0.6352221965789795
0.46875,0.65625,0.7011581659317017,0.6482890248298645
0.390625,0.5625,0.7193782329559326,0.6546278595924377
0.546875,0.84375,0.6984081268310547,0.620886504650116
0.40625,0.875,0.7239306569099426,0.6162185668945312
0.4375,0.8125,0.6999642848968506,0.6229945421218872
0.515625,0.59375,0.7087833881378174,0.6485987305641174
0.453125,0.78125,0.7154543995857239,0.6593915820121765
0.515625,0.71875,0.7005242109298706,0.6689562797546387
0.5,0.71875,0.6889842748641968,0.6392946243286133
0.40625,0.71875,0.7099422216415405,0.6514092087745667
0.453125,0.75,0.7172529101371765,0.6623951196670532
0.4375,0.6875,0.6973568201065063,0.6613034009933472
0.5,0.34375,0.6761221289634705,0.7277572154998779
0.578125,0.65625,0.6886916160583496,0.6617113351821899
0.53125,0.59375,0.6799933910369873,0.6775995492935181
0.640625,0.71875,0.6585416793823242,0.6511722803115845
0.46875,0.4375,0.6784182786941528,0.7217010259628296
0.46875,0.65625,0.6841905117034912,0.6730146408081055
0.59375,0.6875,0.6781879663467407,0.6728875637054443
0.484375,0.40625,0.6939884424209595,0.7330031991004944
0.46875,0.5,0.6962907314300537,0.6947358846664429
0.609375,0.5,0.6654316782951355,0.7150509357452393
0.578125,0.65625,0.6802957057952881,0.703535795211792
0.546875,0.21875,0.6985188722610474,0.8282118439674377
0.671875,0.46875,0.6504970788955688,0.6965622901916504
0.5,0.34375,0.6864838004112244,0.7482219934463501
0.78125,0.59375,0.6419879198074341,0.6949454545974731
0.59375,0.34375,0.6665208339691162,0.7392172813415527
0.734375,0.3125,0.6511249542236328,0.7540315389633179
0.640625,0.1875,0.6628623008728027,0.7639995217323303
0.765625,0.28125,0.6369494199752808,0.8019165992736816
0.765625,0.15625,0.6297699809074402,0.8003374934196472
0.75,0.28125,0.6281300187110901,0.7940964698791504
0.65625,0.1875,0.6499349474906921,0.7796322107315063
0.671875,0.15625,0.6502109169960022,0.7981855869293213
0.6875,0.25,0.632242739200592,0.8998007774353027
0.6875,0.1875,0.636358380317688,0.7899134159088135
0.75,0.03125,0.6234447956085205,0.9206336736679077
0.734375,0.125,0.6383694410324097,0.8070173263549805
0.734375,0.0625,0.6264030933380127,0.8238337635993958
0.765625,0.0,0.6197221875190735,0.8794179558753967
0.765625,0.15625,0.6160140037536621,0.8645073175430298
0.78125,0.03125,0.6146631240844727,0.8595976829528809
0.671875,0.0,0.6253083348274231,0.8859901428222656
0.703125,0.15625,0.6185922622680664,0.8492690324783325
0.671875,0.0625,0.6347914338111877,0.8902775049209595
0.71875,0.0625,0.6102433800697327,0.8737682700157166
0.734375,0.03125,0.6310809254646301,0.8754638433456421
0.671875,0.1875,0.623376727104187,0.8644352555274963
0.71875,0.09375,0.6282809972763062,0.8636888265609741
0.75,0.0625,0.6111457347869873,0.8901780247688293
0.796875,0.125,0.6072490215301514,0.8728489875793457
0.625,0.09375,0.6335829496383667,0.8905234336853027
0.734375,0.0,0.5961746573448181,0.9615371227264404
0.765625,0.125,0.5958917140960693,0.910273551940918
0.765625,0.09375,0.5863643884658813,0.9306330680847168
0.84375,0.09375,0.5891983509063721,0.9164533019065857
0.71875,0.0625,0.614479660987854,0.9351515173912048
0.703125,0.09375,0.6045961380004883,0.9227403998374939
0.71875,0.0625,0.6140238046646118,0.9370831251144409
0.78125,0.0625,0.5773588418960571,0.9523966312408447
0.796875,0.0,0.5904219746589661,0.9572148323059082
0.796875,0.0625,0.5737526416778564,0.9583205580711365
0.703125,0.0,0.6023366451263428,0.9970685839653015
0.875,0.03125,0.561214804649353,1.0593284368515015
0.765625,0.09375,0.5772580504417419,0.9602863788604736
0.734375,0.0625,0.5898032784461975,1.0082664489746094
0.6875,0.0625,0.5877139568328857,0.9935826063156128
0.84375,0.0,0.5512800812721252,1.0767712593078613
0.65625,0.03125,0.5890058279037476,1.0137317180633545
0.796875,0.0625,0.5525463223457336,1.0274271965026855
0.6875,0.0,0.5930524468421936,1.0320048332214355
0.78125,0.03125,0.5468745231628418,1.0266222953796387
0.71875,0.0,0.590333104133606,1.0647568702697754
0.75,0.0625,0.5559769868850708,1.0787343978881836
0.734375,0.125,0.5757467746734619,1.0420095920562744
0.625,0.09375,0.5945724248886108,1.0493049621582031
0.765625,0.125,0.559818685054779,1.0679670572280884
0.71875,0.0,0.5735362768173218,1.0912039279937744
0.75,0.0,0.5643184185028076,1.0896673202514648
0.765625,0.0625,0.5535868406295776,1.108816385269165
0.71875,0.03125,0.5675265192985535,1.0810091495513916
0.703125,0.125,0.5497443675994873,1.1066995859146118
0.828125,0.0625,0.543347954750061,1.092426061630249
0.765625,0.09375,0.5264247059822083,1.1123692989349365
0.78125,0.09375,0.5411821007728577,1.0701377391815186
0.828125,0.0625,0.5165059566497803,1.1120799779891968
0.796875,0.0625,0.5318608283996582,1.1242101192474365
0.75,0.09375,0.5729528665542603,1.1607410907745361
0.71875,0.03125,0.568518877029419,1.1073503494262695
